q,ym,tstat,kind,asof,nowcast,nc_sd,naive,actual,implied,naive_implied,price,outcome,pnl,naive_pnl,pf_pnl,vol,ntrades
Will monthly inflation increase by 0.0% or less in May?,2025-05,MoM,LT,2025-06-08,0.125,0.15,0.325,0.209,0.203,0.135,0.078,0.0,-0.0975,-0.0975,0.0575,61759.610077,792
Will annual inflation be 4.1% in May?,2026-05,YoY,BUCKET,2026-06-07,4.18,0.156,3.924,4.249,0.221,0.112,0.097,0.0,-0.1173,-0.1173,0.0773,59715.649115,781
Will monthly inflation increase by 0.4% or more in May?,2025-05,MoM,GT,2025-06-08,0.125,0.15,0.325,0.209,0.034,0.399,0.013,0.0,-0.0329,-0.0329,-0.0071,58998.079805,736
Will monthly inflation increase by 0.3% in September?,2025-09,MoM,BUCKET,2025-10-12,0.376,0.148,0.172,0.254,0.232,0.182,0.294,1.0,-0.7265,-0.7265,0.6865,58944.558274,525
Will annual inflation increase by 2.6% in April?,2025-04,YoY,BUCKET,2025-05-10,2.342,0.16,2.319,2.311,0.07,0.084,0.038,0.0,-0.0578,-0.0578,0.0178,52875.031183,1198
Will annual inflation increase by 3.6% in April?,2026-04,YoY,BUCKET,2026-05-09,3.565,0.156,3.264,3.811,0.246,0.072,0.174,0.0,-0.1937,0.1537,0.1537,49624.096932000095,912
Will annual inflation increase by 3.0% in December?,2025-12,YoY,BUCKET,2026-01-10,2.573,0.158,2.58,2.677,0.007,0.031,0.024,0.0,0.0045,-0.0445,0.0045,47814.837274,468
Will annual inflation be 4.0% in May?,2026-05,YoY,BUCKET,2026-06-07,4.18,0.156,3.924,4.249,0.133,0.129,0.014,0.0,-0.0344,-0.0344,-0.0056,47528.273353,647
Will monthly inflation increase by 0.5% or more in April?,2025-04,MoM,GT,2025-05-10,0.218,0.151,0.319,0.311,0.031,0.291,0.031,0.0,0.0111,-0.0511,0.0111,45927.962407,562
Will annual inflation increase by 3.5% in April?,2026-04,YoY,BUCKET,2026-05-09,3.565,0.156,3.264,3.811,0.232,0.094,0.035,0.0,-0.0546,-0.0546,0.0146,40574.870536999995,702
Will monthly inflation increase by 0.5% or more in January?,2026-01,MoM,GT,2026-02-08,0.135,0.149,0.413,0.37,0.007,0.38,0.034,0.0,0.0137,-0.0537,0.0137,39904.395458,808
Will monthly inflation increase by 0.3% in January?,2026-01,MoM,BUCKET,2026-02-08,0.135,0.149,0.413,0.37,0.146,0.129,0.257,0.0,0.2369,0.2369,0.2369,39876.130723,835
Will monthly inflation increase by 0.2% in January?,2026-01,MoM,BUCKET,2026-02-08,0.135,0.149,0.413,0.37,0.239,0.106,0.397,1.0,-0.6228,-0.6228,-0.6228,38749.481338,1096
Will annual inflation increase by 2.5% in March?,2025-03,YoY,BUCKET,2025-04-07,2.488,0.16,2.672,2.391,0.245,0.098,0.502,0.0,0.4821,0.4821,0.4821,37714.791009,586
Will monthly inflation increase by 0.4% in January?,2026-01,MoM,BUCKET,2026-02-08,0.135,0.149,0.413,0.37,0.058,0.14,0.094,0.0,0.0742,-0.1142,-0.1142,35903.32312,772
Will monthly inflation increase by 0.1% or less in March?,2025-03,MoM,LT,2025-04-07,0.028,0.151,0.5,0.225,0.683,0.13,0.7,1.0,-0.3205,-0.3205,-0.3205,35266.235085,332
Will monthly inflation increase by 0.3% in May?,2025-05,MoM,BUCKET,2025-06-08,0.125,0.15,0.325,0.209,0.136,0.134,0.092,0.0,-0.1121,-0.1121,0.0721,34384.970912,563
Will annual inflation increase by 2.7% in March?,2025-03,YoY,BUCKET,2025-04-07,2.488,0.16,2.672,2.391,0.105,0.109,0.102,0.0,-0.1222,-0.1222,0.0822,33994.935033,492
Will annual inflation increase by 2.5% in April?,2025-04,YoY,BUCKET,2025-05-10,2.342,0.16,2.319,2.311,0.153,0.103,0.165,0.0,0.1449,0.1449,0.1449,32349.432045,574
Will monthly inflation increase by 0.6% in May?,2026-05,MoM,BUCKET,2026-06-07,0.459,0.148,0.318,0.631,0.171,0.086,0.145,0.0,-0.1654,0.1254,-0.1654,29914.923358,316
Will annual inflation increase by 3.1% in December?,2025-12,YoY,BUCKET,2026-01-10,2.573,0.158,2.58,2.677,0.001,0.012,0.012,0.0,-0.0077,-0.0077,-0.0077,29368.476862,237
Will monthly inflation increase by 0.4% in March?,2025-03,MoM,BUCKET,2025-04-07,0.028,0.151,0.5,0.225,0.014,0.108,0.012,0.0,-0.0321,-0.0321,-0.0079,28832.1198,378
Will annual inflation increase by ≤2.8% in January?,2026-01,YoY,LT,2026-02-08,2.364,0.157,2.431,2.386,0.997,0.898,0.972,1.0,0.0077,-0.0477,0.0077,28831.790115,451
Will monthly inflation increase by 0.5% in May?,2026-05,MoM,BUCKET,2026-06-07,0.459,0.148,0.318,0.631,0.255,0.113,0.608,1.0,-0.4119,-0.4119,-0.4119,25653.453531000014,523
Will monthly inflation increase by 0.6% in April?,2026-04,MoM,BUCKET,2026-05-09,0.448,0.148,0.318,0.85,0.159,0.085,0.388,1.0,-0.6317,-0.6317,-0.6317,22548.253003999995,406
Will annual inflation increase by 2.6% in March?,2025-03,YoY,BUCKET,2025-04-07,2.488,0.16,2.672,2.391,0.193,0.107,0.268,0.0,0.2479,0.2479,0.2479,21790.004214,428
Will monthly inflation increase by 0.5% in April?,2026-04,MoM,BUCKET,2026-05-09,0.448,0.148,0.318,0.85,0.249,0.106,0.305,0.0,0.2852,0.2852,0.2852,21579.022114,350
Will monthly inflation increase by 0.3% in March?,2025-03,MoM,BUCKET,2025-05-10,0.028,0.151,0.5,0.225,0.055,0.096,0.343,0.0,0.3228,0.3228,0.3228,21416.876744,341
Will monthly inflation increase by 0.4% in March?,2025-03,MoM,BUCKET,2025-05-10,0.028,0.151,0.5,0.225,0.014,0.108,0.16,0.0,0.1396,0.1396,0.1396,18840.074081,285
Will monthly inflation increase by 0.7% in May?,2026-05,MoM,BUCKET,2026-06-07,0.459,0.148,0.318,0.631,0.074,0.058,0.019,0.0,-0.0393,-0.0393,-0.0393,18612.584885999997,188
Will monthly inflation increase by 0.2% in March?,2025-03,MoM,BUCKET,2025-04-07,0.028,0.151,0.5,0.225,0.139,0.079,0.215,0.0,0.1948,0.1948,-0.2348,18149.08343,217
Will monthly inflation increase by 0.3% or less in April?,2026-04,MoM,LT,2026-05-09,0.448,0.148,0.318,0.85,0.158,0.477,0.01,0.0,-0.0304,-0.0304,-0.0096,16674.590010000007,249
Will monthly inflation increase by 0.7% in April?,2026-04,MoM,BUCKET,2026-05-09,0.448,0.148,0.318,0.85,0.066,0.061,0.21,0.0,0.19,0.19,0.19,16253.949791000006,257
Will monthly inflation increase by 0.4% in April?,2026-04,MoM,BUCKET,2026-05-09,0.448,0.148,0.318,0.85,0.252,0.121,0.058,0.0,-0.0776,-0.0776,0.0376,15886.983003000003,368
Will monthly inflation increase by 0.3% in March?,2025-03,MoM,BUCKET,2025-04-07,0.028,0.151,0.5,0.225,0.055,0.096,0.069,0.0,0.049,-0.089,-0.089,13843.598396,167
Will monthly inflation increase by 0.4% in May?,2026-05,MoM,BUCKET,2026-06-07,0.459,0.148,0.318,0.631,0.245,0.133,0.17,0.0,-0.1901,0.1501,0.1501,13278.439909000006,274
Will China's annual inflation increase by ≥0.7% in December?,2025-12,YoY,GT,2026-01-07,2.573,0.158,2.58,2.677,1.0,1.0,0.703,1.0,0.2773,0.2773,0.2773,11786.972134,99
Will monthly inflation increase by 0.8% in April?,2026-04,MoM,BUCKET,2026-05-09,0.448,0.148,0.318,0.85,0.017,0.04,0.032,0.0,0.0115,-0.0515,-0.0515,11690.373237000005,220
